IYEAR IDAY IHOUR MIN BXGSM BYGSM BZGSM VXGSE VYGSE VZGSE DEN  TEMP  SYMH    IMFFLAG   ISWFLAG TILT  Pdyn  W1   W2   W3   W4   W5   W6
2020   1  9 30    0.48   -2.18   -2.40  -325.8    -3.1     4.2   9.32   52650.    1.0    1    1 -0.4568   1.92   0.45   0.72   0.04   0.41   0.65   0.99
2020   1  9 35    0.03   -1.87   -2.95  -337.6     0.0    -2.0   8.08   41055.    1.0    1    1 -0.4534   1.78   0.46   0.73   0.04   0.41   0.65   1.00
2020   1  9 40   -0.26   -1.90   -2.85  -336.3     1.8    -3.0   7.87   39974.    2.0    1    1 -0.4499   1.72   0.47   0.74   0.04   0.42   0.65   1.00
2020   1  9 45   -0.24   -2.01   -2.64  -336.3     1.9    -3.1   7.84   39264.    2.0    1    2 -0.4465   1.72   0.47   0.74   0.04   0.42   0.65   1.00
2020   1  9 50    0.25   -1.91   -2.89  -336.4     2.0    -3.2   7.80   38553.    2.0    1    2 -0.4430   1.71   0.48   0.74   0.04   0.42   0.66   1.01
2020   1  9 55    0.10   -1.96   -2.75  -336.4     2.1    -3.3   7.77   37843.    1.0    1    1 -0.4395   1.70   0.48   0.75   0.04   0.43   0.66   1.01
2020   1 10  0    0.01   -2.09   -2.85  -334.6     4.2    -4.0   8.64   48763.    2.0    1    1 -0.4360   1.87   0.49   0.75   0.04   0.43   0.66   1.02
2020   1 10  5    0.78   -2.04   -2.58  -328.9     6.9     1.1   8.65   43624.    3.0    1    1 -0.4324   1.81   0.49   0.76   0.04   0.43   0.66   1.03
2020   1 10 10    0.24   -2.13   -2.73  -326.0     8.2     3.6   8.65   41055.    3.0    1    1 -0.4289   1.78   0.50   0.76   0.04   0.43   0.66   1.03
2020   1 10 15    0.18   -2.19   -2.64  -333.9     2.3    -4.0   7.42   35490.    2.0    1    1 -0.4254   1.60   0.50   0.76   0.04   0.43   0.66   1.03
2020   1 10 20   -0.18   -2.00   -2.76  -336.6     3.2    -3.2   7.83   39556.    2.0    1    1 -0.4218   1.72   0.51   0.76   0.05   0.44   0.66   1.03
2020   1 10 25    0.66   -1.56   -1.67  -332.7     3.3     3.5   8.16   43556.    1.0    1    2 -0.4182   1.75   0.50   0.75   0.05   0.43   0.64   1.01
2020   1 10 30    2.79   -0.21    1.16  -328.9     3.5    10.2   8.50   47556.    1.0    1    1 -0.4147   1.79   0.49   0.71   0.05   0.41   0.58   0.94
2020   1 10 35    3.07    0.02    1.37  -323.2     3.4    24.4   8.79   51939.    0.0    1    1 -0.4111   1.79   0.47   0.67   0.05   0.39   0.53   0.88
2020   1 10 40    3.88    0.65    2.92  -321.3     3.6    14.9   9.09   54442.    0.0    1    2 -0.4075   1.82   0.46   0.64   0.05   0.37   0.48   0.82
2020   1 10 45    2.79   -1.72    0.08  -319.4     3.8     5.3   9.40   56946.    0.0    1    1 -0.4040   1.86   0.44   0.61   0.05   0.35   0.44   0.77
2020   1 10 50    2.94   -0.90   -0.31  -319.4     3.8     5.3   9.40   56946.   -1.0    1    1 -0.4004   1.86   0.43   0.58   0.05   0.34   0.41   0.74
2020   1 10 55    3.25   -1.79   -0.21  -323.0     4.7     5.8   8.49   49452.    0.0    1    1 -0.3968   1.72   0.42   0.55   0.05   0.32   0.38   0.71
2020   1 11  0    3.55    0.32    2.18  -323.9     7.8    22.8   8.34   47873.    0.0    1    1 -0.3933   1.70   0.41   0.52   0.05   0.31   0.35   0.66
2020   1 11  5    3.65    0.08    2.04  -325.0     0.5    18.7   9.23   56912.    1.0    1    1 -0.3897   1.90   0.39   0.50   0.05   0.29   0.31   0.61
2020   1 11 10    3.59    0.26    2.28  -322.5     2.5    19.9   8.93   51311.    2.0    1    1 -0.3862   1.81   0.38   0.47   0.05   0.28   0.29   0.57
2020   1 11 15    3.33   -1.48    0.16  -321.7     0.7    15.1   9.67   63827.    4.0    1    1 -0.3826   1.94   0.37   0.45   0.05   0.26   0.26   0.53
2020   1 11 20    3.89   -0.85    1.89  -322.9     2.2    22.0   9.66   54991.    3.0    1    1 -0.3791   1.96   0.36   0.42   0.05   0.25   0.24   0.50
2020   1 11 25    3.70   -1.46    1.16  -323.4     0.4    19.5  10.29   61432.    2.0    1    1 -0.3756   2.09   0.35   0.40   0.04   0.24   0.21   0.46
2020   1 11 30    3.92   -0.26    2.06  -322.7     2.1    21.0  10.10   67323.    2.0    1    1 -0.3721   2.05   0.34   0.38   0.04   0.23   0.19   0.43
